Sample	Phase	method	cell	exp	MAD_score_log2	result	total_bins	unrep_bins	rep_bins	nodata_bins	repliscore
RPE1_scRR1_MidS_010	S	scRR_FACS	RPE1	scRR_1ul	0.581649811	pass	61497	27725	33621	151	0.548055293
RPE1_scRR1_MidS_011	S	scRR_FACS	RPE1	scRR_1ul	0.615334596	pass	61497	37832	21604	2061	0.363483411
RPE1_scRR1_MidS_012	S	scRR_FACS	RPE1	scRR_1ul	0.59316922	pass	61497	28032	33310	155	0.543021095
RPE1_scRR1_MidS_013	S	scRR_FACS	RPE1	scRR_1ul	0.557098087	pass	61497	36282	25076	139	0.408683464
RPE1_scRR1_MidS_014	S	scRR_FACS	RPE1	scRR_1ul	0.591699663	pass	61497	33265	28040	192	0.457385205
RPE1_scRR1_MidS_015	S	scRR_FACS	RPE1	scRR_1ul	0.579080514	pass	61497	31628	29704	165	0.484314876
RPE1_scRR1_MidS_016	S	scRR_FACS	RPE1	scRR_1ul	0.497565055	pass	61497	41354	19992	151	0.325889219
RPE1_scRR1_MidS_003	S	scRR_FACS	RPE1	scRR_1ul	0.495809667	pass	61497	40258	21110	129	0.343990353
RPE1_scRR1_MidS_004	S	scRR_FACS	RPE1	scRR_1ul	0.511697872	pass	61497	20264	41064	169	0.669579963
RPE1_scRR1_MidS_005	S	scRR_FACS	RPE1	scRR_1ul	0.386760775	pass	61497	48857	12521	119	0.203998175
RPE1_scRR1_MidS_006	S	scRR_FACS	RPE1	scRR_1ul	0.603146873	pass	61497	29260	32110	127	0.523219814
RPE1_scRR1_MidS_007	S	scRR_FACS	RPE1	scRR_1ul	0.56953114	pass	61497	33188	28185	124	0.459241034
RPE1_scRR1_MidS_008	S	scRR_FACS	RPE1	scRR_1ul	0.597130745	pass	61497	31177	30093	227	0.491153909
RPE1_scRR3_MidS_Lot1_013	S	scRR_FACS	RPE1	scRR_3ul	0.575353252	pass	61497	25256	36093	148	0.588322548
RPE1_scRR3_MidS_Lot1_019	S	scRR_FACS	RPE1	scRR_3ul	0.506735656	pass	61497	44659	16449	389	0.269179158
RPE1_scRR3_MidS_Lot1_003	S	scRR_FACS	RPE1	scRR_3ul	0.56953114	pass	61497	35126	26219	152	0.427402396
RPE1_scRR3_MidS_Lot1_006	S	scRR_FACS	RPE1	scRR_3ul	0.577571755	pass	61497	27109	34297	91	0.558528483
RPE1_scRR3_MidS_Lot1_007	S	scRR_FACS	RPE1	scRR_3ul	0.598558513	pass	61497	28794	32579	124	0.530836035
RPE1_scRR3_MidS_Lot1_009	S	scRR_FACS	RPE1	scRR_3ul	0.404187086	pass	61497	10237	51080	180	0.833047931
RPE1_scRR3_MidS_Lot2_011	S	scRR_FACS	RPE1	scRR_3ul	0.416219798	pass	61497	16929	44417	151	0.724040687
RPE1_scRR3_MidS_Lot2_012	S	scRR_FACS	RPE1	scRR_3ul	0.603678221	pass	61497	32298	29030	169	0.473356379
RPE1_scRR3_MidS_Lot2_013	S	scRR_FACS	RPE1	scRR_3ul	0.464794318	pass	61497	42161	19219	117	0.313115021
RPE1_scRR3_MidS_Lot2_014	S	scRR_FACS	RPE1	scRR_3ul	0.542111908	pass	61497	37481	23729	287	0.387665414
RPE1_scRR3_MidS_Lot2_015	S	scRR_FACS	RPE1	scRR_3ul	0.562518588	pass	61497	24872	36540	85	0.59499772
RPE1_scRR3_MidS_Lot2_016	S	scRR_FACS	RPE1	scRR_3ul	0.513461073	pass	61497	42831	17339	1327	0.288166861
RPE1_scRR3_MidS_Lot2_007	S	scRR_FACS	RPE1	scRR_3ul	0.445321013	pass	61497	44050	17343	104	0.282491489
RPE1_scRR3_MidS_Lot2_008	S	scRR_FACS	RPE1	scRR_3ul	0.583646022	pass	61497	26026	35313	158	0.575702245
RPE1_scRR3_MidS_Lot2_009	S	scRR_FACS	RPE1	scRR_3ul	0.579080514	pass	61497	24514	36895	88	0.600807699
RPE1_scRR3_G0_015	G0	scRR_FACS	RPE1	scRR_3ul	0.273427869	pass	61497	61484	9	4	0.000146358
RPE1_scRR3_G0_003	G0	scRR_FACS	RPE1	scRR_3ul	0.285615593	pass	61497	61484	12	1	0.000195135
SRR6491833_GSM2904952_RPE1_single_G1_02	G1	scRepliseq	RPE1	scRepli	0.238791163	pass	61497	61483	11	3	0.000178879
SRR6491834_GSM2904953_RPE1_single_G1_03	G1	scRepliseq	RPE1	scRepli	0.222598082	pass	61497	61460	0	37	0
SRR6491842_GSM2904958_RPE1_single_MidS_05	S	scRepliseq	RPE1	scRepli	0.558113286	pass	61497	22708	38650	139	0.62990971
SRR6491843_GSM2904959_RPE1_single_MidS_06	S	scRepliseq	RPE1	scRepli	0.577044988	pass	61497	23853	37524	120	0.61136908
SRR6491844_GSM2904960_RPE1_single_MidS_07	S	scRepliseq	RPE1	scRepli	0.539709095	pass	61497	22402	38995	100	0.635128752
SRR6491845_GSM2904961_RPE1_single_MidS_08	S	scRepliseq	RPE1	scRepli	0.634080901	pass	61497	27615	33784	98	0.550236975
SRR6491846_GSM2904962_RPE1_single_MidS_09	S	scRepliseq	RPE1	scRepli	0.611119936	pass	61497	26257	35098	142	0.572047918
SRR6491847_GSM2904963_RPE1_single_MidS_10	S	scRepliseq	RPE1	scRepli	0.63089059	pass	61497	29426	31956	115	0.520608647
SRR6491848_GSM2904964_RPE1_single_MidS_11	S	scRepliseq	RPE1	scRepli	0.638839664	pass	61497	27214	34160	123	0.55658748
SRR6491849_GSM2904965_RPE1_single_MidS_12	S	scRepliseq	RPE1	scRepli	0.63763201	pass	61497	29611	31745	141	0.517390312
SRR6491850_GSM2904966_RPE1_single_MidS_13	S	scRepliseq	RPE1	scRepli	0.611484119	pass	61497	26570	34819	108	0.567186304
SRR6491851_GSM2904967_RPE1_single_MidS_14	S	scRepliseq	RPE1	scRepli	0.613329994	pass	61497	26220	35187	90	0.573012849
