Geneid	Length	gene_name
ENSG00000237613.2	1219	FAM138A
ENSG00000233750.3	3812	CICP27
ENSG00000268903.1	755	RP11-34P13.15
ENSG00000241860.7	7559	RP11-34P13.13
ENSG00000228463.10	8224	AP006222.1
ENSG00000237094.12	6204	RP4-669L17.4
ENSG00000230021.10	5495	RP11-206L10.17
ENSG00000225972.1	372	MTND1P23
ENSG00000225630.1	1044	MTND2P28
ENSG00000237973.1	1543	MTCO1P12
ENSG00000248527.1	681	MTATP6P1
ENSG00000228327.3	6432	RP11-206L10.2
ENSG00000237491.10	8413	LINC01409
ENSG00000228794.10	15682	LINC01128
ENSG00000230368.2	1971	FAM41C
ENSG00000187634.13	4172	SAMD11
ENSG00000188976.11	5540	NOC2L
ENSG00000187961.14	3402	KLHL17
ENSG00000187583.11	3451	PLEKHN1
ENSG00000188290.11	1118	HES4
ENSG00000187608.10	867	ISG15
ENSG00000188157.15	10761	AGRN
ENSG00000217801.10	2203	RP11-465B22.3
ENSG00000131591.18	6322	C1orf159
ENSG00000285812.1	1095	RP11-465B22.9
ENSG00000078808.19	4744	SDF4
ENSG00000176022.7	2805	B3GALT6
ENSG00000260179.1	1558	RP5-902P8.12
ENSG00000160087.21	4691	UBE2J2
ENSG00000162572.21	4025	SCNN1D
ENSG00000131584.19	8707	ACAP3
ENSG00000169972.12	2459	PUSL1
ENSG00000127054.21	8216	INTS11
ENSG00000240731.1	386	RP5-890O3.9
ENSG00000224051.7	2555	CPTP
ENSG00000107404.20	3882	DVL1
ENSG00000162576.17	3622	MXRA8
ENSG00000175756.13	1669	AURKAIP1
ENSG00000221978.12	6857	CCNL2
ENSG00000224870.7	2527	MRPL20-AS1
ENSG00000242485.6	2767	MRPL20
ENSG00000272455.1	1523	MRPL20-DT
ENSG00000215915.10	3981	ATAD3C
ENSG00000160072.20	7686	ATAD3B
ENSG00000197785.14	3344	ATAD3A
ENSG00000160075.12	6919	SSU72
ENSG00000215014.5	2349	RP5-832C2.5
ENSG00000272106.1	2038	RP11-345P4.9
ENSG00000197530.13	8723	MIB2
ENSG00000248333.9	3490	CDK11B
ENSG00000189339.12	8462	SLC35E2B
ENSG00000269737.2	1819	RP11-345P4.6
ENSG00000008128.23	5085	CDK11A
ENSG00000268575.1	5079	RP1-283E3.8
ENSG00000227775.3	2759	RP1-283E3.4
ENSG00000215790.8	3264	SLC35E2A
ENSG00000008130.15	5570	NADK
ENSG00000078369.18	6417	GNB1
ENSG00000142609.19	10422	CFAP74
ENSG00000187730.9	5525	GABRD
ENSG00000271806.1	4196	RP5-892K4.1
ENSG00000162585.17	10916	FAAP20
ENSG00000157933.10	6550	SKI
ENSG00000116151.14	11337	MORN1
ENSG00000157916.20	5689	RER1
ENSG00000157911.11	3782	PEX10
ENSG00000157881.16	5072	PANK4
ENSG00000157873.18	6214	TNFRSF14
ENSG00000157870.17	3371	PRXL2B
ENSG00000177133.12	5600	PRDM16-DT
ENSG00000142611.17	9767	PRDM16
ENSG00000272235.1	3461	RP11-22L13.1
ENSG00000287828.1	728	RP4-785P20.3
ENSG00000130762.15	5324	ARHGEF16
ENSG00000162591.16	9021	MEGF6
ENSG00000158109.15	2401	TPRG1L
ENSG00000116213.16	7634	WRAP73
ENSG00000227372.12	9701	TP73-AS1
ENSG00000130764.10	4509	LRRC47
ENSG00000116198.14	11885	CEP104
ENSG00000169598.17	3870	DFFB
ENSG00000198912.12	4883	C1orf174
ENSG00000236423.6	4084	LINC01134
ENSG00000284703.1	4817	RP11-718D19.2
ENSG00000287586.1	3225	RP1-77N19.1
ENSG00000284692.2	2316	RP1-58B11.2
ENSG00000131697.18	13167	NPHP4
ENSG00000069424.15	17329	KCNAB2
ENSG00000116251.11	4665	RPL22
ENSG00000158286.13	6595	RNF207
ENSG00000116237.16	4910	ICMT
ENSG00000225077.3	2358	LINC00337
ENSG00000158292.7	4198	GPR153
ENSG00000097021.20	3500	ACOT7
ENSG00000069812.11	5407	HES2
ENSG00000215788.11	4263	TNFRSF25
ENSG00000171680.23	6935	PLEKHG5
ENSG00000162408.11	7271	NOL9
ENSG00000204859.13	4510	ZBTB48
ENSG00000162413.16	6901	KLHL21
ENSG00000116273.6	3632	PHF13
ENSG00000041988.15	4072	THAP3
ENSG00000007923.16	5083	DNAJC11
ENSG00000228750.7	2188	LINC01672
ENSG00000284744.1	987	RP11-242F24.2
ENSG00000171735.19	9903	CAMTA1
ENSG00000049245.13	2733	VAMP3
ENSG00000049246.15	8128	PER3
ENSG00000049249.9	6354	TNFRSF9
ENSG00000116288.13	2397	PARK7
ENSG00000284747.1	4116	CTA-215D11.6
ENSG00000284716.1	1043	CTA-215D11.5
ENSG00000116285.13	4179	ERRFI1
ENSG00000142599.19	14112	RERE
ENSG00000074800.16	5216	ENO1
ENSG00000142583.18	6632	SLC2A5
ENSG00000180758.12	5304	GPR157
ENSG00000228526.7	8702	MIR34AHG
ENSG00000049239.13	9322	H6PD
ENSG00000171621.14	3389	SPSB1
ENSG00000284693.1	2623	LINC02606
ENSG00000171612.7	3865	SLC25A33
ENSG00000188807.13	6981	TMEM201
ENSG00000171608.16	6333	PIK3CD
ENSG00000171603.18	5241	CLSTN1
ENSG00000178585.15	3339	CTNNBIP1
ENSG00000162441.12	5459	LZIC
ENSG00000173614.14	4610	NMNAT1
ENSG00000130939.20	9237	UBE4B
ENSG00000054523.19	17955	KIF1B
ENSG00000199562.1	107	RNU6-37P
ENSG00000264501.2	293	RN7SL731P
ENSG00000284735.1	2381	RP4-736L20.4
ENSG00000284642.1	1477	RP4-736L20.5
ENSG00000142657.21	3333	PGD
ENSG00000251503.8	2244	CENPS-CORT
ENSG00000175279.22	1748	CENPS
ENSG00000160049.12	6625	DFFA
ENSG00000203469.2	467	RP5-1113E3.3
ENSG00000142655.13	2932	PEX14
ENSG00000130940.15	11336	CASZ1
ENSG00000120948.19	6187	TARDBP
ENSG00000009724.17	4257	MASP2
ENSG00000116649.10	1894	SRM
ENSG00000171824.14	5991	EXOSC10
ENSG00000198793.13	12163	MTOR
ENSG00000120942.14	5090	UBIAD1
ENSG00000284708.1	2094	RP3-330O12.5
ENSG00000132879.14	3527	FBXO44
ENSG00000116663.11	1735	FBXO6
ENSG00000116670.15	3324	MAD2L2
ENSG00000162490.7	7365	DRAXIN
ENSG00000177674.16	2435	AGTRAP
ENSG00000177000.13	11513	MTHFR
ENSG00000011021.23	8173	CLCN6
ENSG00000285646.2	3071	RP5-934G17.7
ENSG00000116685.16	3281	KIAA2013
ENSG00000083444.17	5320	PLOD1
ENSG00000116688.18	10234	MFN2
ENSG00000116691.11	2821	MIIP
ENSG00000048707.15	20768	VPS13D
ENSG00000162496.9	3515	DHRS3
ENSG00000157330.10	4133	C1orf158
ENSG00000116731.22	10923	PRDM2
ENSG00000171729.14	2238	TMEM51
ENSG00000228140.2	5178	RP3-467K16.4
ENSG00000142634.13	2534	EFHD2
ENSG00000162438.12	3483	CTRC
ENSG00000132906.18	5269	CASP9
ENSG00000116138.13	8563	DNAJC16
ENSG00000116771.6	3095	AGMAT
ENSG00000197312.12	12178	DDI2
ENSG00000116786.13	4134	PLEKHM2
ENSG00000162461.8	3338	SLC25A34
ENSG00000162458.13	4351	FBLIM1
