Geneid	Chr	Start	End	Strand	Length	gene_name
ENSG00000223972.5	chr1	11869	14409	+	2541	DDX11L1
ENSG00000227232.5	chr1	14404	29570	-	15167	WASH7P
ENSG00000278267.1	chr1	17369	17436	-	68	MIR6859-1
ENSG00000243485.5	chr1	29554	31109	+	1556	MIR1302-2HG
ENSG00000284332.1	chr1	30366	30503	+	138	MIR1302-2
ENSG00000237613.2	chr1	34554	36081	-	1528	FAM138A
ENSG00000268020.3	chr1	52473	53312	+	840	OR4G4P
ENSG00000240361.2	chr1	57598	64116	+	6519	OR4G11P
ENSG00000186092.7	chr1	65419	71585	+	6167	OR4F5
ENSG00000238009.6	chr1	89295	133723	-	44429	RP11-34P13.7
ENSG00000239945.1	chr1	89551	91105	-	1555	RP11-34P13.8
ENSG00000233750.3	chr1	131025	134836	+	3812	CICP27
ENSG00000268903.1	chr1	135141	135895	-	755	RP11-34P13.15
ENSG00000269981.1	chr1	137682	137965	-	284	RP11-34P13.16
ENSG00000239906.1	chr1	139790	140339	-	550	RP11-34P13.14
ENSG00000241860.7	chr1	141474	173862	-	32389	RP11-34P13.13
ENSG00000222623.1	chr1	157784	157887	-	104	RNU6-1100P
ENSG00000241599.1	chr1	160446	161525	+	1080	RP11-34P13.9
ENSG00000279928.2	chr1	182696	184174	+	1479	DDX11L17
ENSG00000279457.4	chr1	185217	195411	-	10195	WASH9P
ENSG00000273874.1	chr1	187891	187958	-	68	MIR6859-2
ENSG00000228463.10	chr1	257864	359681	-	101818	AP006222.1
ENSG00000286448.1	chr1	266855	268655	+	1801	AP006222.3
ENSG00000236679.2	chr1	347982	348366	-	385	RPL23AP24
ENSG00000236601.2	chr1	358857	366052	+	7196	RP4-669L17.2
ENSG00000237094.12	chr1	365389	522928	-	157540	RP4-669L17.4
ENSG00000269732.1	chr1	439870	440232	+	363	WBP1LP7
ENSG00000284733.2	chr1	450740	451678	-	939	OR4F29
ENSG00000233653.3	chr1	487101	489906	+	2806	CICP7
ENSG00000250575.1	chr1	491225	493241	-	2017	RP4-669L17.8
ENSG00000278757.1	chr1	516376	516479	-	104	U6
ENSG00000230021.10	chr1	586071	827796	-	241726	RP11-206L10.17
ENSG00000235146.2	chr1	587629	594768	+	7140	RP5-857K21.2
ENSG00000225972.1	chr1	629062	629433	+	372	MTND1P23
ENSG00000225630.1	chr1	629640	630683	+	1044	MTND2P28
ENSG00000237973.1	chr1	631074	632616	+	1543	MTCO1P12
ENSG00000278791.1	chr1	632325	632413	-	89	ENSG00000278791
ENSG00000229344.1	chr1	632757	633438	+	682	MTCO2P12
ENSG00000240409.1	chr1	633535	633741	+	207	MTATP8P1
ENSG00000248527.1	chr1	633696	634376	+	681	MTATP6P1
ENSG00000198744.5	chr1	634376	634922	+	547	MTCO3P12
ENSG00000268663.1	chr1	674842	675265	+	424	WBP1LP6
ENSG00000284662.1	chr1	685679	686673	-	995	OR4F16
ENSG00000229376.3	chr1	722092	724903	+	2812	CICP3
ENSG00000228327.3	chr1	725885	778626	-	52742	RP11-206L10.2
ENSG00000223181.1	chr1	758233	758336	-	104	RNU6-1199P
ENSG00000229905.1	chr1	760911	761989	+	1079	RP11-206L10.4
ENSG00000237491.10	chr1	778747	810065	+	31319	LINC01409
ENSG00000285268.1	chr1	781937	782050	+	114	RP11-206L10.18
ENSG00000230092.7	chr1	800879	817712	-	16834	RP11-206L10.8
ENSG00000177757.2	chr1	817371	819837	+	2467	FAM87B
ENSG00000228794.10	chr1	825138	859446	+	34309	LINC01128
ENSG00000225880.5	chr1	826206	827522	-	1317	LINC00115
ENSG00000288531.1	chr1	860226	868202	+	7977	RP11-206L10.19
ENSG00000230368.2	chr1	868071	876903	-	8833	FAM41C
ENSG00000234711.1	chr1	873292	874349	+	1058	TUBB8P11
ENSG00000283040.1	chr1	874529	877234	-	2706	FAM166AP3
ENSG00000272438.1	chr1	904834	915976	+	11143	RP11-54O7.16
ENSG00000230699.2	chr1	911435	914948	+	3514	RP11-54O7.1
ENSG00000241180.1	chr1	914171	914971	+	801	RP11-54O7.2
ENSG00000223764.2	chr1	916865	921016	-	4152	LINC02593
ENSG00000187634.13	chr1	923923	944575	+	20653	SAMD11
ENSG00000188976.11	chr1	944203	959309	-	15107	NOC2L
ENSG00000187961.14	chr1	960584	965719	+	5136	KLHL17
ENSG00000187583.11	chr1	966482	975865	+	9384	PLEKHN1
ENSG00000187642.9	chr1	975204	982093	-	6890	PERM1
ENSG00000272512.1	chr1	995966	998051	-	2086	RP11-54O7.17
ENSG00000188290.11	chr1	998962	1000172	-	1211	HES4
ENSG00000187608.10	chr1	1001138	1014540	+	13403	ISG15
ENSG00000231702.2	chr1	1008076	1008229	-	154	RP11-54O7.10
ENSG00000224969.1	chr1	1011997	1013193	-	1197	RP11-54O7.11
ENSG00000188157.15	chr1	1020120	1056118	+	35999	AGRN
ENSG00000242590.1	chr1	1055033	1056116	+	1084	RP11-54O7.14
ENSG00000217801.10	chr1	1059708	1069355	+	9648	RP11-465B22.3
ENSG00000273443.1	chr1	1062208	1063288	-	1081	RP11-54O7.18
ENSG00000237330.3	chr1	1070967	1074306	-	3340	RNF223
ENSG00000131591.18	chr1	1081818	1116361	-	34544	C1orf159
ENSG00000285812.1	chr1	1097585	1104598	+	7014	RP11-465B22.9
ENSG00000223823.1	chr1	1137017	1144056	+	7040	LINC01342
ENSG00000207730.3	chr1	1167104	1167198	+	95	MIR200B
ENSG00000207607.3	chr1	1167863	1167952	+	90	MIR200A
ENSG00000198976.1	chr1	1169005	1169087	+	83	MIR429
ENSG00000272141.1	chr1	1169357	1170343	+	987	RP11-465B22.8
ENSG00000205231.1	chr1	1173056	1179555	-	6500	TTLL10-AS1
ENSG00000162571.14	chr1	1173880	1197936	+	24057	TTLL10
ENSG00000186891.14	chr1	1203508	1206592	-	3085	TNFRSF18
ENSG00000186827.11	chr1	1211340	1214153	-	2814	TNFRSF4
ENSG00000078808.19	chr1	1216909	1232067	-	15159	SDF4
ENSG00000176022.7	chr1	1232237	1235041	+	2805	B3GALT6
ENSG00000184163.3	chr1	1242446	1246722	-	4277	C1QTNF12
ENSG00000260179.1	chr1	1249777	1251334	-	1558	RP5-902P8.12
ENSG00000160087.21	chr1	1253909	1273864	-	19956	UBE2J2
ENSG00000230415.1	chr1	1275223	1280420	+	5198	LINC01786
ENSG00000162572.21	chr1	1280436	1292029	+	11594	SCNN1D
