Geneid	Length	gene_name
ENSG00000229905.1	456	RP11-206L10.4
ENSG00000285268.1	114	RP11-206L10.18
ENSG00000230092.7	872	RP11-206L10.8
ENSG00000177757.2	1947	FAM87B
ENSG00000225880.5	1317	LINC00115
ENSG00000241180.1	443	RP11-54O7.2
ENSG00000187642.9	3424	PERM1
ENSG00000237330.3	1900	RNF223
ENSG00000230415.1	513	LINC01786
ENSG00000169962.5	3475	TAS1R3
ENSG00000235098.9	2644	ANKRD65
ENSG00000205116.4	3217	TMEM88B
ENSG00000205090.9	2009	TMEM240
ENSG00000182873.5	1734	PRKCZ-AS1
ENSG00000142606.16	3870	MMEL1
ENSG00000279839.1	2677	RP11-193J6.1
ENSG00000272088.1	382	RP11-168F9.2
ENSG00000162592.10	4238	CCDC27
ENSG00000284668.2	1835	LINC02780
ENSG00000231868.1	351	RP1-202O8.2
ENSG00000270171.1	1721	RP11-338N10.1
ENSG00000131686.15	2662	CA6
ENSG00000223989.1	424	RP11-84A14.5
ENSG00000228150.1	440	RP11-84A14.4
ENSG00000287727.1	2876	RP4-734G22.4
ENSG00000175262.14	3573	C1orf127
ENSG00000171819.5	2224	ANGPTL7
ENSG00000235643.2	1351	LINC01647
ENSG00000116661.11	3163	FBXO2
ENSG00000177553.6	1868	C1orf167-AS1
ENSG00000285604.1	1196	RP11-426M1.3
ENSG00000028137.19	3778	TNFRSF1B
ENSG00000175147.13	11973	TMEM51-AS1
ENSG00000233485.1	3105	FHAD1-AS1
ENSG00000142615.8	1519	CELA2A
ENSG00000237938.5	1533	RP11-288I21.1
ENSG00000117122.14	2712	MFAP2
ENSG00000288636.1	312	RP1-37C10.8
ENSG00000117115.13	6000	PADI2
ENSG00000159339.13	2971	PADI4
ENSG00000162482.5	1215	AKR7A3
ENSG00000284743.1	674	RP4-749H3.3
ENSG00000235112.1	296	HSPE1P27
ENSG00000271428.1	488	MPHOSPH6P1
ENSG00000162552.15	4650	WNT4
ENSG00000240553.1	666	RP1-184J9.2
ENSG00000204219.11	3675	TCEA3
ENSG00000197880.9	2142	MDS2
ENSG00000142661.19	9214	MYOM3
ENSG00000284657.1	760	RP3-465N24.8
ENSG00000197245.6	2799	FAM110D
ENSG00000225891.2	1261	DHDDS-AS1
ENSG00000241547.1	468	ACTG1P20
ENSG00000280498.1	135	SNORA16A
ENSG00000116329.11	9345	OPRD1
ENSG00000223382.5	2111	LINC01778
ENSG00000121769.8	1398	FABP3
ENSG00000264078.1	480	RP11-73M7.9
ENSG00000228634.1	517	RP4-534N18.2
ENSG00000276493.1	291	Metazoa_SRP
ENSG00000224066.1	1357	RP4-622L5.7
ENSG00000236065.2	1680	RP1-117O3.2
ENSG00000276645.1	345	Metazoa_SRP
ENSG00000222112.1	299	RN7SKP16
ENSG00000241014.2	1887	GPR199P
ENSG00000229994.1	886	RPL5P4
ENSG00000171812.13	4669	COL8A2
ENSG00000284650.1	1039	RP3-406M12.1
ENSG00000163879.11	4456	DNALI1
ENSG00000284748.1	1326	RP11-566C13.2
ENSG00000185668.8	2965	POU3F1
ENSG00000287422.1	1941	RP11-416A14.2
ENSG00000116985.12	4826	BMP8B
ENSG00000284719.1	1744	RP1-118J21.27
ENSG00000287743.1	1672	RP4-739H11.5
ENSG00000272145.1	1687	NFYC-AS1
ENSG00000286668.1	1354	RP11-348A7.7
ENSG00000235358.2	2252	RP11-399E6.1
ENSG00000286640.1	1348	RP11-399E6.5
ENSG00000285728.2	3315	RP5-994D16.13
ENSG00000164007.11	3602	CLDN19
ENSG00000274386.5	4373	TMEM269
ENSG00000284138.1	440	ATP6V0CP4
ENSG00000229444.1	469	ST3GAL3-AS1
ENSG00000224751.2	1312	SHMT1P1
ENSG00000234093.3	385	RPS15AP11
ENSG00000142959.5	2512	BEST4
ENSG00000159588.15	3323	CCDC17
ENSG00000225447.1	382	RPS15AP10
ENSG00000234329.1	788	RP11-767N6.2
ENSG00000197587.11	5068	DMBX1
ENSG00000142973.14	3466	CYP4B1
ENSG00000223720.2	651	RP5-1024N4.2
ENSG00000186094.17	7504	AGBL4
ENSG00000279324.1	1901	RP11-93G23.2
ENSG00000230585.2	811	PHBP12
ENSG00000085831.16	9491	TTC39A
ENSG00000287078.1	939	RP11-155O18.7
ENSG00000182183.15	2684	SHISAL2A
ENSG00000226754.2	1941	RP5-1024G6.5
ENSG00000203985.11	2376	LDLRAD1
ENSG00000198711.5	2624	SSBP3-AS1
ENSG00000287724.1	831	RP11-67L3.7
ENSG00000284601.1	1733	RP11-12C17.3
ENSG00000162399.9	9761	BSND
ENSG00000187889.13	4648	FYB2
ENSG00000231252.3	4298	RP11-436K8.1
ENSG00000132854.19	6814	KANK4
