Geneid	Length	gene_name	RNA_8CEmbryo1_Cell4_014_scRR3	RNA_8CEmbryo1_Cell3_013_scRR3	RNA_8CEmbryo1_Cell6_020_scRR1	RNA_8CEmbryo1_Cell7_021_scRR1	RNA_8CEmbryo2_Cell6_023_scRR1	RNA_8CEmbryo1_Cell2_012_scRR3	RNA_8CEmbryo2_Cell3_017_scRR3	RNA_8CEmbryo1_Cell1_011_scRR3	RNA_8CEmbryo2_Cell1_015_scRR3	RNA_8CEmbryo2_Cell7_024_scRR1	RNA_8CEmbryo2_Cell5_022_scRR1	RNA_8CEmbryo2_Cell2_016_scRR3	RNA_8CEmbryo2_Cell8_025_scRR1	GTseq.RNA.140619.G1.sc.1996943	GTseq.RNA.140619.H5.sc.1996957	GTseq.RNA.140619.G4.sc.1996946	GTseq.RNA.140619.G2.sc.1996944	GTseq.RNA.140619.G3.sc.1996945	GTseq.RNA.140619.G5.sc.1996947	GTseq.RNA.140619.H1.sc.1996953	GTseq.RNA.140619.G7.sc.1996949	GTseq.RNA.140619.H3.sc.1996955	GTseq.RNA.140619.H2.sc.1996954	GTseq.RNA.140619.G8.sc.1996950	GTseq.RNA.140619.H4.sc.1996956	GTseq.RNA.140619.H7.sc.1996959	GTseq.RNA.140619.H8.sc.1996960	SRR10267003_GSM4118741_DBA_2J_x_C57_BL6J_8cell_cells_rep2_Mus_musculus_RNA.Seq.sampled	SRR10267004_GSM4118741_DBA_2J_x_C57_BL6J_8cell_cells_rep2_Mus_musculus_RNA.Seq.sampled	SRR10267005_GSM4118742_DBA_2J_x_C57_BL6J_8cell_cells_rep1_Mus_musculus_RNA.Seq.sampled
ENSMUSG00000044927.6	1217	H1f10	3	7	4	0	0	13	8	5	6	4	3	6	0	0	0	0	0	3	7	1	0	1	0	0	3	3	5	2	3	1
ENSMUSG00000042279.13	1201	H1f8	0	1	0	0	0	0	2	1	3	0	0	0	0	13	0	0	4	15	0	0	3	0	2	1	0	4	3	3	3	4
ENSMUSG00000058773.2	743	H1f5	53	7	12	8	15	71	36	39	78	41	12	62	24	0	2	0	0	4	0	10	0	7	0	9	0	0	0	24	19	25
ENSMUSG00000052565.7	7425	H1f3	18	10.67	4.33	4.17	14	37.5	6	14.33	17.5	16	5	12.17	3.5	0	4.33	0	13.5	4.83	3	3.5	0	1.5	16.5	21.67	2.33	14.83	0	3.33	2.33	2.5
ENSMUSG00000051627.3	1930	H1f4	44	9.67	3.33	7.17	8.5	43.5	15	20.33	21.5	19.5	5	38.67	14.5	0	0.33	0	2.5	14.33	1	15.5	3	12.5	3	21.67	0.33	7.33	3	10.33	15.33	5
ENSMUSG00000036211.4	912	H1f6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036181.2	1560	H1f2	17	5.67	5.33	12.67	12.5	17	11	6.67	17	3.5	2	17.17	10	0	5.33	0	7	16.83	3	14	20	5	1.5	23.67	2.33	0.83	0	2.33	3.33	2.5
ENSMUSG00000049539.3	741	H1f1	20	5	5	2	5	15	2	23.67	18	3	2	10	4	0	0	0	1	0	0	3	0	6	8	8	0	0	0	2	1	0
ENSMUSG00000096210.2	2055	H1f0	23	25	20	21	16	23	21	26	11	31	25	15	6	28	0	3	26	20	28	24	18	21	16	5	7	4	24	340	305	274
ENSMUSG00000048077.6	1308	H1f7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091230.1	666	H1f11-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082482.2	348	H2ab2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067441.5	348	H2ab1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083616.3	348	H2ab3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020086.6	2175	Macroh2a2	2	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2
ENSMUSG00000015937.15	6809	Macroh2a1	48	118	133	87	37	112	41	204	61	75	41	18	53	14	19	18	17	22	34	0	4	8	0	9	2	2	4	261	268	181
ENSMUSG00000101167.1	1112	Macroh2a3	0	0	1	0	1	0	0	1	6	0	0	4.5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000049932.3	1384	H2ax	171.2	156.6	126.6	162.2	127.4	213.4	153.4	264	224.8	65.2	91.8	184.2	48.2	351.8	249.8	125.4	251.8	127.6	392.2	65.2	157	139.4	264	106.6	50	83.4	47.6	1190.2	1179.4	423
ENSMUSG00000037894.13	1776	H2az1	299.25	339.25	641.85	564.82	445.22	352.1	483.43	571.62	503.3	1116.5	380.08	435.57	769	1608.58	2456.86	1739.17	2364.05	2521.86	3626.4	482.5	5537.01	1150.7	2489.06	4547.48	1082.92	2345.61	1379.5	5016.5	4907.5	4633.41
ENSMUSG00000063689.4	444	H2ac21	4.05	0.45	2.15	5.75	2.35	5.1	4.5	2.25	5.7	1.45	1.3	4.8	1.6	0	0	0.2	0.65	5.65	0	0	0	0	0	0.2	0.25	0.4	0	0.5	0.5	1.45
ENSMUSG00000068855.3	520	H2ac20	14.1	2.1	11.05	2.25	24	35.2	16.2	8.3	18.6	19.95	4.65	29.7	7.15	0	0	4.92	2	6.15	0	0.5	2.25	5.53	0.2	0.2	0.25	0.65	0	18.75	19.75	65.95
ENSMUSG00000063954.7	528	H2ac19	28.81	5.83	8.45	3.45	21.9	42.06	43.3	22.12	44.22	27.5	11.82	58.65	26.6	2.4	0.93	2.44	10.4	8.72	0.8	2.2	3.95	7.23	2.8	8.83	1.38	2.75	0.8	21.18	25.68	23.98
ENSMUSG00000064220.6	586	H2ac18	28.51	7.03	7.85	3.45	22.1	38.26	42.7	21.42	43.42	28.2	11.22	58.85	30.1	1.6	0.93	2.64	11	9.82	0.4	2.2	3.15	8.03	3	10.43	0.98	2.55	1	19.18	31.58	22.38
ENSMUSG00000071516.2	393	H2ac13	37.97	3.8	9.6	1.6	40.5	48.85	26.27	12.3	38.27	14.1	9.47	26.83	14.4	6.5	6.4	6.9	8.83	24.6	1.8	7.5	7.6	17.17	13.3	47.47	3.4	6.5	5.4	119.9	123.43	93.85
ENSMUSG00000080076.4	352	H2ac14	39	5	6.2	0.6	27.9	37.9	26.1	12.7	34.5	10.3	9.9	21.3	12.2	6.1	6.13	5.7	9.9	21.8	1.4	6.5	7.6	12.2	12.6	40.3	1.4	4.7	4	105.67	94.82	87.58
ENSMUSG00000063021.3	393	H2ac15	35.83	5.27	15.33	3.6	35.07	40.98	30.83	12.77	35.77	19.17	13.77	18.73	14.67	4.07	2.8	3.63	7.07	13.3	0.6	2.87	5.87	6.63	12.9	31.12	0.8	2.33	2.13	94.87	75.25	49.27
ENSMUSG00000069302.5	405	H2ac12	39.4	5.8	17.4	2.8	42.8	46.4	29.35	22	43.7	17.5	8.8	42.9	17	8.4	13.3	25.4	13.5	88.55	11.3	18.2	20.65	32.7	52.2	119.05	5.2	28.1	14.1	421.5	439.96	360.73
ENSMUSG00000069301.5	485	H2ac11	66.1	9.8	22.95	5.92	77.17	75.97	54.95	30.17	75.83	35.92	23.53	56.4	30.82	11.88	20.7	29.6	30.58	104.2	15.38	27.12	33.62	48.57	64.75	148.25	6.68	35.47	17.58	551.58	602.35	485.25
ENSMUSG00000061991.2	399	H2ac10	27.33	4.2	8.17	1.4	29.77	30.43	27.25	15.8	27.83	13.47	11.7	22.67	15	4.6	5.2	6.7	8.33	24.2	0.6	7.8	5.8	13.8	14	38.7	1.6	4	3	81.33	75.53	64.2
ENSMUSG00000069272.6	704	H2ac8	48.02	5.67	13.17	5.1	47.03	62	44.9	25.43	65.39	16.82	17.2	31.08	15.15	3.4	5.4	14.55	9.2	29.4	1	11.5	8.35	16.9	14.78	44.03	2.05	5.85	3.85	220.43	200.3	181.55
ENSMUSG00000071478.6	572	H2ac7	57.12	7.87	18.2	5.9	65.57	71.2	53.35	27.87	70.89	23.95	20.7	42.25	20.35	7.4	7.8	6.65	13.93	35.45	1	9.7	9.95	26.1	22.28	65.03	1.25	7.05	6.05	170.95	175.58	130.95
ENSMUSG00000069270.6	2482	H2ac6	51.1	5.4	12.15	3.05	46	47.8	32.75	16.33	49.4	17.65	13.6	32.83	19.35	8.75	6.93	7.4	11.75	29.9	3.15	10.15	10.45	17.43	20	51.25	3.15	9.7	5.55	167.97	157.68	132.78
