Geneid	Length	gene_name
ENSMUSG00000102693.1	1070	4933401J01Rik
ENSMUSG00000064842.1	110	Gm26206
ENSMUSG00000051951.5	6094	Xkr4
ENSMUSG00000102851.1	480	Gm18956
ENSMUSG00000103377.1	2819	Gm37180
ENSMUSG00000104017.1	2233	Gm37363
ENSMUSG00000103025.1	2309	Gm37686
ENSMUSG00000089699.1	250	Gm1992
ENSMUSG00000103201.1	2057	Gm37329
ENSMUSG00000103147.1	926	Gm7341
ENSMUSG00000103161.1	3012	Gm38148
ENSMUSG00000102331.1	3259	Gm19938
ENSMUSG00000102348.1	1634	Gm10568
ENSMUSG00000102592.1	2351	Gm38385
ENSMUSG00000088333.2	58	Gm27396
ENSMUSG00000102343.1	1364	Gm37381
ENSMUSG00000025900.13	12311	Rp1
ENSMUSG00000102948.1	1867	Gm6101
ENSMUSG00000104123.1	1484	Gm37483
ENSMUSG00000025902.13	4772	Sox17
ENSMUSG00000104238.1	2917	Gm37587
ENSMUSG00000102269.1	2991	Gm7357
ENSMUSG00000096126.1	107	Gm22307
ENSMUSG00000103003.1	450	Gm38076
ENSMUSG00000104328.1	2773	Gm37323
ENSMUSG00000102735.1	936	Gm7369
ENSMUSG00000098104.1	1470	Gm6085
ENSMUSG00000102175.1	1206	Gm6119
ENSMUSG00000088000.1	103	Gm25493
ENSMUSG00000103265.1	631	Gm2053
ENSMUSG00000103922.1	1069	Gm6123
ENSMUSG00000033845.13	8487	Mrpl15
ENSMUSG00000102275.1	1150	Gm37144
ENSMUSG00000025903.14	7145	Lypla1
ENSMUSG00000104217.1	825	Gm37988
ENSMUSG00000033813.15	3017	Tcea1
ENSMUSG00000062588.4	603	Gm6104
ENSMUSG00000103280.1	1111	Gm37277
ENSMUSG00000002459.17	4239	Rgs20
ENSMUSG00000091305.1	272	Gm17100
ENSMUSG00000102653.1	2135	Gm37079
ENSMUSG00000085623.1	3725	Gm16041
ENSMUSG00000091665.1	1588	Gm17101
ENSMUSG00000033793.12	9746	Atp6v1h
ENSMUSG00000104352.1	732	Gm7182
ENSMUSG00000104046.1	2279	Gm37567
ENSMUSG00000102907.1	2032	Gm38264
ENSMUSG00000025905.14	9151	Oprk1
ENSMUSG00000103936.1	394	Gm36965
ENSMUSG00000093015.1	101	Gm22463
ENSMUSG00000103519.1	1799	Gm37429
ENSMUSG00000033774.4	3692	Npbwr1
ENSMUSG00000103090.1	1083	Gm19214
ENSMUSG00000025907.14	14690	Rb1cc1
ENSMUSG00000090031.2	5428	4732440D04Rik
ENSMUSG00000087247.3	971	Alkal1
ENSMUSG00000103355.1	639	Gm2147
ENSMUSG00000102706.1	473	Gm7417
ENSMUSG00000103845.1	4530	Gm19026
ENSMUSG00000033740.17	6464	St18
ENSMUSG00000103329.2	2915	Gm42492
ENSMUSG00000104385.1	663	Gm7449
ENSMUSG00000102135.1	626	Gm37108
ENSMUSG00000103282.1	30	Gm37275
ENSMUSG00000102534.1	325	Gm37225
ENSMUSG00000102213.1	159	Gm37489
ENSMUSG00000103629.1	641	Gm5694
ENSMUSG00000051285.17	6654	Pcmtd1
ENSMUSG00000098201.1	388	Gm26983
ENSMUSG00000103509.1	4028	Gm38372
ENSMUSG00000048538.7	1299	Gm9826
ENSMUSG00000103709.1	178	Nras-ps2
ENSMUSG00000077244.1	130	Gm23274
ENSMUSG00000102768.1	1012	Gm19002
ENSMUSG00000097797.6	4339	Gm26901
ENSMUSG00000103498.1	1124	Gm18984
ENSMUSG00000103067.1	2596	Gm30414
ENSMUSG00000102320.1	286	Gm37791
ENSMUSG00000104226.1	2095	Gm7470
ENSMUSG00000103903.1	881	Rps2-ps2
ENSMUSG00000103557.1	1214	Gm38216
ENSMUSG00000025909.16	10908	Sntg1
ENSMUSG00000102647.1	2532	Gm38024
ENSMUSG00000086235.1	400	Gm16284
ENSMUSG00000102253.1	3534	Gm38259
ENSMUSG00000093970.1	110	Gm23358
ENSMUSG00000103884.1	1164	Gm37005
ENSMUSG00000084353.1	240	Gm15452
ENSMUSG00000103933.1	198	Gm36964
ENSMUSG00000076135.1	110	Gm24276
ENSMUSG00000086195.1	340	Gm6152
ENSMUSG00000104504.1	340	Gm7445
ENSMUSG00000066693.2	626	Gm7493
ENSMUSG00000102316.1	1050	Gm37629
ENSMUSG00000103819.1	518	Gm38008
ENSMUSG00000102871.1	3259	Gm37143
ENSMUSG00000101571.2	960	Gm6187
ENSMUSG00000104428.1	636	Gm18299
ENSMUSG00000102272.1	1170	Gm7512
ENSMUSG00000065625.1	103	Gm24765
ENSMUSG00000103411.1	1406	Gm18300
ENSMUSG00000061024.8	2048	Rrs1
ENSMUSG00000025911.14	3780	Adhfe1
ENSMUSG00000079671.8	4910	2610203C22Rik
ENSMUSG00000081441.3	1102	Gm6161
ENSMUSG00000067879.3	3256	Vxn
ENSMUSG00000099827.1	1067	Gm29520
ENSMUSG00000025912.16	5402	Mybl1
ENSMUSG00000045210.8	9749	Vcpip1
ENSMUSG00000097893.8	3101	1700034P13Rik
ENSMUSG00000025915.14	14311	Sgk3
ENSMUSG00000046334.4	357	Gm6195
ENSMUSG00000088916.1	105	Gm22607
ENSMUSG00000046101.16	5916	Mcmdc2
ENSMUSG00000098234.7	1146	Snhg6
ENSMUSG00000093178.1	87	Snord87
ENSMUSG00000099032.2	4193	Tcf24
ENSMUSG00000104025.1	1374	E330040D14Rik
ENSMUSG00000025916.10	1523	Ppp1r42
ENSMUSG00000087199.1	656	Gm15818
ENSMUSG00000095780.1	104	Gm24674
ENSMUSG00000025917.9	3766	Cops5
ENSMUSG00000056763.16	17553	Cspp1
ENSMUSG00000102356.1	920	1700047N06Rik
ENSMUSG00000067851.11	11318	Arfgef1
ENSMUSG00000088153.1	240	Gm26348
ENSMUSG00000102556.1	1722	Gm37569
